Wallclock,Robot,State,Duration,From,To,TotalDistance,IdleTime,TotalTime
05:18:21.764394,MSR1,Calibrate,11.722762818975438,m26,m26,140.4973726898193,17297.452297679236,19113.48713166605
05:18:33.487157,MSR1,Wait,9.148785864303399,m26,m26,140.4973726898193,17306.60108354354,19122.635917530355
05:18:42.635943,MSR1,Swabbing,12.06916907575356,m26,m26,140.4973726898193,17306.60108354354,19134.705086606107
05:18:54.705112,MSR1,Move,2.7896296296296264,m26,m27,141.33426157870818,17306.60108354354,19137.49471623574
05:18:57.494742,MSR1,Calibrate,8.381849345102127,m27,m27,141.33426157870818,17306.60108354354,19145.876565580842
05:19:05.876591,MSR1,Wait,9.249673145658196,m27,m27,141.33426157870818,17315.8507566892,19155.1262387265
05:19:15.126264,MSR1,Swabbing,11.942046912075346,m27,m27,141.33426157870818,17315.8507566892,19167.068285638576
05:19:27.068311,MSR1,Move,2.7896296296296264,m27,m28,142.17115046759707,17315.8507566892,19169.857915268207
05:19:29.857941,MSR1,Calibrate,10.054097930134873,m28,m28,142.17115046759707,17315.8507566892,19179.91201319834
05:19:39.912039,MSR1,Wait,4.6093469821914725,m28,m28,142.17115046759707,17320.46010367139,19184.52136018053
05:19:44.521386,MSR1,Swabbing,12.000484653643609,m28,m28,142.17115046759707,17320.46010367139,19196.521844834173
05:19:56.521871,MSR1,Park,2403.478155165827,m28,m28,142.17115046759707,19723.938258837217,21600.0
05:30:00.000026,MSR2,Move,43.79451609568108,m38,m41,221.18660326173872,17188.544282546914,19843.79451609568
05:30:43.794542,MSR2,Calibrate,11.484400445181508,m41,m41,221.18660326173872,17188.544282546914,19855.27891654086
05:30:55.278942,MSR2,Wait,4.78944431846703,m41,m41,221.18660326173872,17193.33372686538,19860.068360859328
05:31:00.068386,MSR2,Swabbing,11.976951697597196,m41,m41,221.18660326173872,17193.33372686538,19872.045312556926
05:31:12.045338,MSR2,Move,2.7896296296296326,m41,m42,222.02349215062762,17193.33372686538,19874.834942186557
05:31:14.834968,MSR2,Calibrate,8.440575329107345,m42,m42,222.02349215062762,17193.33372686538,19883.275517515664
05:31:23.275543,MSR2,Wait,8.536999175374781,m42,m42,222.02349215062762,17201.870726040757,19891.81251669104
05:31:31.812542,MSR2,Swabbing,11.99341685841229,m42,m42,222.02349215062762,17201.870726040757,19903.80593354945
05:31:43.805959,MSR2,Move,2.7896296296296326,m42,m43,222.8603810395165,17201.870726040757,19906.595563179082
05:31:46.595589,MSR2,Calibrate,8.332599441391082,m43,m43,222.8603810395165,17201.870726040757,19914.928162620472
05:31:54.928188,MSR2,Wait,4.736195536602377,m43,m43,222.8603810395165,17206.60692157736,19919.664358157075
05:31:59.664384,MSR2,Swabbing,11.847871512676909,m43,m43,222.8603810395165,17206.60692157736,19931.512229669752
05:32:11.512256,MSR2,Move,2.7896296296296264,m43,m44,223.6972699284054,17206.60692157736,19934.301859299383
05:32:14.301886,MSR2,Calibrate,11.155579103379754,m44,m44,223.6972699284054,17206.60692157736,19945.457438402762
05:32:25.457465,MSR2,Wait,4.334369877497643,m44,m44,223.6972699284054,17210.94129145486,19949.79180828026
05:32:29.791835,MSR2,Swabbing,12.085615291567875,m44,m44,223.6972699284054,17210.94129145486,19961.87742357183
05:32:41.877450,MSR2,Move,2.7896296296296326,m44,m45,224.5341588172943,17210.94129145486,19964.66705320146
05:32:44.667080,MSR2,Calibrate,10.684769018012966,m45,m45,224.5341588172943,17210.94129145486,19975.351822219476
05:32:55.351849,MSR2,Wait,6.4396843356177405,m45,m45,224.5341588172943,17217.38097579048,19981.791506555095
05:33:01.791533,MSR2,Swabbing,12.095456215875881,m45,m45,224.5341588172943,17217.38097579048,19993.886962770972
05:33:13.886989,MSR2,Move,2.7896296296296326,m45,m46,225.3710477061832,17217.38097579048,19996.676592400603
05:33:16.676619,MSR2,Calibrate,10.974242211717511,m46,m46,225.3710477061832,17217.38097579048,20007.65083461232
05:33:27.650861,MSR2,Wait,6.994679218239006,m46,m46,225.3710477061832,17224.375655008716,20014.645513830557
05:33:34.645540,MSR2,Swabbing,11.910122919059773,m46,m46,225.3710477061832,17224.375655008716,20026.555636749617
05:33:46.555663,MSR2,Move,2.7896296296296264,m46,m47,226.20793659507208,17224.375655008716,20029.34526637925
05:33:49.345293,MSR2,Calibrate,10.158972283987222,m47,m47,226.20793659507208,17224.375655008716,20039.504238663238
